neighborhood,npu
Adair Park,V
Adams Park,R
Adamsville,H
Almond Park,G
Amal Heights,Y
Ansley Park,E
Arden/Habersham,C
Ardmore,E
Argonne Forest,C
Arlington Estates,P
Ashley Courts,P
Ashview Heights,T
Atkins Park,F
Atlanta Industrial Park,G
Atlanta University Center,T
Atlantic Station,E
Audobon Forest,I
Audobon Forest West,I
Baker Hills,H
Bakers Ferry,H
Bankhead,K
Bankhead Courts,H
Bankhead/Bolton,H
Beecher Hills,I
Ben Hill,P
Ben Hill Acres,P
Ben Hill Forest,P
Ben Hill Pines,P
Ben Hill Terrace,P
Benteen Park,W
Berkeley Park,D
Betmar LaVilla,Y
Blair Villa/Poole Creek,Z
Blandtown,D
Bolton,D
Bolton Hills,G
Boulder Park,H
Boulevard Heights,W
Brandon,C
Brentwood,P
Briar Glen,P
Brookhaven,B
Brookview Heights,G
Brookwood,E
Brookwood Hills,E
Browns Mill Park,Z
Buckhead Forest,B
Buckhead Village,B
Bush Mountain,S
Butner/Tell,P
Cabbagetown,N
Campbellton Road,R
Candler Park,N
Capitol Gateway,V
Capitol View,X
Capitol View Manor,X
Carey Park,G
Carroll Heights,H
Carver Hills,G
Cascade Avenue/Road,S
Cascade Green,P
Cascade Heights,I
Castleberry Hill,M
Castlewood,C
Center Hill,J
Chalet Woods,I
Channing Valley,C
Chastain Park,A
Chattahoochee,G
Chosewood Park,Y
Collier Heights,I
Collier Hills,C
Collier Hills North,C
Colonial Homes,C
Cross Creek,C
Custer/McDonough/Guice,W
Deerwood,P
Dixie Hills,J
Downtown,M
Druid Hills,N
East Ardley Road,I
East Atlanta,W
East Chastain Park,B
East Lake,O
Edgewood,O
Elmco Estates,P
Englewood Manor,Y
English Avenue,L
English Park,G
Fairburn,P
Fairburn Heights,H
Fairburn Road/Wisteria Lane,H
Fairburn Tell,P
Fairburn Mays,H
Fairway Acres,P
Fernleaf,C
Florida Heights,I
Fort McPherson,S
Fort Valley,R
Garden Hills,B
Georgia Tech,E
Glenrose Heights,Z
Grant Park,W
Green Acres Valley,I
Green Forest Acres,I
Greenbriar,R
Greenbriar Village,P
Grove Park,J
Hammond Park,X
Hanover West,C
Harland Terrace,I
Harris Chiles,T
Harvel Homes Community,J
Heritage Valley,P
High Point,Y
Hills Park,D
Home Park,E
Horseshoe Community,I
Hunter Hills,K
Huntington,P
Inman Park,N
Ivan Hill,I
Joyland,Y
Just Us,T
Kings Forest,P
Kingswood,A
Kirkwood,O
Knight Park/Howell Station,K
Lake Claire,N
Lake Estates,P
Lakewood,Z
Lakewood Heights,Y
Laurens Valley,R
Leila Valley,Z
Lenox,B
Lincoln Homes,G
Lindbergh/Morosgo,B
Lindridge/Martin Manor,F
Loring Heights,E
Magnum Manor,I
Margaret Mitchell,A
Marietta Street Artery,E
Mays,H
Meadowbrook Forest,P
Mechanicsville,V
Mellwood,P
Memorial Park,C
Midtown,E
Midwest Cascade,Q
Monroe Heights,G
Morningside/Lenox Park,F
Mozley Park,K
Mt. Gilead Woods,P
Mt. Paran Parkway,A
Mt. Paran/Northside,A
Niskey Cove,P
Niskey Lake,P
North Buckhead,B
Norwood Manor,Z
Oakcliff,H
Oakland,W
Oakland City,S
Old Fairburn Village,P
Old Fourth Ward,M
Old Gordon,H
Orchard Knob,Z
Ormewood Park,W
Paces,A
Pomona Park,R
Peachtree Battle Alliance,C
Peachtree Heights East,B
Peachtree Heights West,B
Peachtree Hills,B
Peachtree Park,B
Penelope Neighbors,J
Peoplestown,V
Perkerson,X
Peyton Forest,I
Piedmont Heights,F
Pine Hills,B
Pittsburgh,V
Pleasant Hill,A
Polar Rock,Z
Poncey-Highland,N
Princeton Lakes,P
Randall Mill,A
Rebel Valley Forest,Z
Regency Trace,Q
Reynoldstown,N
Ridgecrest Forest,H
Ridgedale Park,B
Ridgewood Heights,C
Riverside,D
Rockdale,G
Rosedale Heights,Z
Rosalie H. Wright Community Council,I
Rue Royal,P
Sandlewood Estates,P
Scotts Crossing,G
Sherwood Forest,E
South Atlanta,Y
South River Gardens,Z
South Tuxedo Park,B
Southwest,R
Springlake,C
State Facility,W
Summerhill,V
Swallow Circle/Baywood,Z
Sweet Auburn,M
Sylvan Hills,X
Tampa Park,P
The Villages at Carver,Y
The Villages at Castleberry Hill,T
The Villages at East Lake,O
Thomasville Heights,Z
Tuxedo Park,A
Underwood Hills,D
Venetian Hills,S
Vine City,L
Virginia Highland,F
Washington Park,K
Wesley Battle,C
Westmont Estates,S
West End,T
West Highlands,G
West Lake,J
West Manor,I
West Paces Ferry/Northside,A
Westhaven,I
Westminster/Milmar,C
Westover Plantation,C
Westview,T
Westwood Terrace,I
Whitewater Creek,A
Whittier Mill Village,D
Wildwood,C
Wildwood,H
Wildwood Forest,P
Wilson Mill Meadows,H
Wisteria Gardens,H
Woodfield,C
Woodland Hills,W
Wyngate,C
Buckhead Heights,B
None,None